Frequency;Channel C
(MHz);(dBu)

1,35421753;-53,49916000
1,35612488;-53,50630000
1,35803223;-53,39035000
1,35993958;-53,63072000
1,36184692;-53,75853000
1,36375427;-53,84235000
1,36566162;-53,53922000
1,36756897;-53,55240000
1,36947632;-53,62518000
1,37138367;-53,60822000
1,37329102;-53,35211000
1,37519836;-53,37368000
1,37710571;-53,46312000
1,37901306;-53,63471000
1,38092041;-53,52071000
1,38282776;-53,46718000
1,38473511;-53,59496000
1,38664246;-53,73425000
1,38854980;-53,60879000
1,39045715;-53,48895000
1,39236450;-53,40228000
1,39427185;-53,22618000
1,39617920;-53,21597000
1,39808655;-53,44678000
1,39999390;-53,52517000
1,40190125;-53,30047000
1,40380859;-53,23131000
1,40571594;-53,68742000
1,40762329;-53,58173000
1,40953064;-53,59989000
1,41143799;-53,67725000
1,41334534;-53,72787000
1,41525269;-53,64171000
1,41716003;-53,74751000
1,41906738;-53,47587000
1,42097473;-53,56734000
1,42288208;-53,78480000
1,42478943;-53,53717000
1,42669678;-53,69539000
1,42860413;-53,75499000
1,43051147;-53,62603000
1,43241882;-53,86020000
1,43432617;-54,18601000
1,43623352;-53,72320000
1,43814087;-53,73153000
1,44004822;-53,91216000
1,44195557;-53,72570000
1,44386292;-53,53852000
1,44577026;-53,48457000
1,44767761;-53,41026000
1,44958496;-53,43298000
1,45149231;-53,67406000
1,45339966;-53,62715000
1,45530701;-53,89467000
1,45721436;-53,66660000
1,45912170;-53,77205000
1,46102905;-53,82858000
1,46293640;-53,76143000
1,46484375;-53,69473000
1,46675110;-53,66665000
1,46865845;-53,86128000
1,47056580;-53,95532000
1,47247314;-53,54944000
1,47438049;-53,66865000
1,47628784;-53,78179000
1,47819519;-53,91072000
1,48010254;-53,89263000
1,48200989;-53,70531000
1,48391724;-53,90403000
1,48582458;-53,68772000
1,48773193;-53,64635000
1,48963928;-53,65358000
1,49154663;-53,75227000
1,49345398;-53,94468000
1,49536133;-53,88980000
1,49726868;-53,81418000
1,49917603;-53,87116000
1,50108337;-53,79992000
1,50299072;-53,90005000
1,50489807;-53,97725000
1,50680542;-53,96444000
1,50871277;-53,92556000
1,51062012;-53,77955000
1,51252747;-53,73415000
1,51443481;-53,81281000
1,51634216;-54,04465000
1,51824951;-53,91698000
1,52015686;-53,77626000
1,52206421;-53,71671000
1,52397156;-53,87812000
1,52587891;-53,88309000
1,52778625;-54,02749000
1,52969360;-54,03536000
1,53160095;-54,19682000
1,53350830;-54,03681000
1,53541565;-54,09035000
1,53732300;-53,93558000
1,53923035;-54,02891000
1,54113770;-53,93231000
1,54304504;-53,96209000
1,54495239;-54,09196000
1,54685974;-53,94494000
1,54876709;-53,78044000
1,55067444;-53,70091000
1,55258179;-53,83610000
1,55448914;-53,90729000
1,55639648;-53,95841000
1,55830383;-54,17220000
1,56021118;-54,01257000
1,56211853;-53,99223000
1,56402588;-53,79844000
1,56593323;-53,86567000
1,56784058;-53,95716000
1,56974792;-54,13454000
1,57165527;-54,01734000
1,57356262;-53,99331000
1,57546997;-54,05719000
1,57737732;-54,14727000
1,57928467;-54,04280000
1,58119202;-54,04881000
1,58309937;-53,72039000
1,58500671;-53,97363000
1,58691406;-54,20811000
1,58882141;-53,97810000
1,59072876;-54,11625000
1,59263611;-54,37086000
1,59454346;-54,21215000
1,59645081;-54,15963000
1,59835815;-53,91968000
1,60026550;-53,76678000
1,60217285;-53,92644000
1,60408020;-54,16843000
1,60598755;-54,00103000
1,60789490;-53,97901000
1,60980225;-53,98767000
1,61170959;-54,21335000
1,61361694;-54,50928000
1,61552429;-54,18027000
1,61743164;-54,10740000
1,61933899;-54,32765000
1,62124634;-54,05653000
1,62315369;-53,96125000
1,62506104;-54,06079000
1,62696838;-54,12254000
1,62887573;-53,81238000
1,63078308;-53,95315000
1,63269043;-53,99399000
1,63459778;-54,11156000
1,63650513;-54,12219000
1,63841248;-54,09400000
1,64031982;-54,02731000
1,64222717;-54,08500000
1,64413452;-54,05339000
1,64604187;-53,96802000
1,64794922;-54,07773000
1,64985657;-54,23233000
1,65176392;-54,30762000
1,65367126;-54,51180000
1,65557861;-54,38047000
1,65748596;-54,44277000
1,65939331;-54,37639000
1,66130066;-54,13360000
1,66320801;-54,01174000
1,66511536;-54,09404000
1,66702271;-54,16197000
1,66893005;-54,11064000
1,67083740;-54,02133000
1,67274475;-54,02618000
1,67465210;-54,26348000
1,67655945;-54,41335000
1,67846680;-54,16536000
1,68037415;-54,08985000
1,68228149;-54,18578000
1,68418884;-54,12131000
1,68609619;-53,99955000
1,68800354;-54,24872000
1,68991089;-54,25642000
1,69181824;-54,21928000
1,69372559;-54,16523000
1,69563293;-54,11727000
1,69754028;-54,24413000
1,69944763;-54,23487000
1,70135498;-54,13140000
1,70326233;-54,22363000
1,70516968;-54,19338000
1,70707703;-54,22361000
1,70898438;-54,29637000
1,71089172;-54,25552000
1,71279907;-54,06444000
1,71470642;-54,06078000
1,71661377;-54,02874000
1,71852112;-53,95087000
1,72042847;-54,01514000
1,72233582;-54,10486000
1,72424316;-54,08383000
1,72615051;-54,11443000
1,72805786;-54,42367000
1,72996521;-54,36801000
1,73187256;-54,22086000
1,73377991;-53,95496000
1,73568726;-54,00319000
1,73759460;-54,34276000
1,73950195;-54,25821000
1,74140930;-54,39878000
1,74331665;-54,45463000
1,74522400;-54,24842000
1,74713135;-54,32750000
1,74903870;-54,28521000
1,75094604;-54,35858000
1,75285339;-54,35049000
1,75476074;-54,29986000
1,75666809;-54,37048000
1,75857544;-54,27203000
1,76048279;-54,02572000
1,76239014;-53,98584000
1,76429749;-54,19521000
1,76620483;-54,45921000
1,76811218;-53,99637000
1,77001953;-53,90091000
1,77192688;-54,12307000
1,77383423;-54,37276000
1,77574158;-54,32079000
1,77764893;-54,16585000
1,77955627;-54,27991000
1,78146362;-54,25943000
1,78337097;-54,31022000
1,78527832;-54,27787000
1,78718567;-54,28936000
1,78909302;-54,24873000
1,79100037;-54,20698000
1,79290771;-54,18779000
1,79481506;-54,37276000
1,79672241;-54,43596000
1,79862976;-54,35244000
1,80053711;-54,44991000
1,80244446;-54,53980000
1,80435181;-54,54027000
1,80625916;-54,33114000
1,80816650;-54,32570000
1,81007385;-54,10614000
1,81198120;-54,28854000
1,81388855;-54,31115000
1,81579590;-54,24399000
1,81770325;-54,46878000
1,81961060;-54,34815000
1,82151794;-54,48587000
1,82342529;-54,54795000
1,82533264;-54,29035000
1,82723999;-54,25537000
1,82914734;-54,28116000
1,83105469;-54,38393000
1,83296204;-54,44080000
1,83486938;-54,32030000
1,83677673;-54,38365000
1,83868408;-54,35415000
1,84059143;-54,20607000
1,84249878;-54,27785000
1,84440613;-54,29636000
1,84631348;-54,21045000
1,84822083;-54,21574000
1,85012817;-54,38288000
1,85203552;-54,38934000
1,85394287;-54,27340000
1,85585022;-54,27415000
1,85775757;-54,14201000
1,85966492;-54,17590000
1,86157227;-54,38062000
1,86347961;-54,22428000
1,86538696;-54,10114000
1,86729431;-54,14395000
1,86920166;-54,51718000
1,87110901;-54,82100000
1,87301636;-54,56057000
1,87492371;-54,40459000
1,87683105;-54,60401000
1,87873840;-54,49654000
1,88064575;-54,56121000
1,88255310;-54,36636000
1,88446045;-54,24104000
1,88636780;-54,44404000
1,88827515;-54,54400000
1,89018250;-54,62851000
1,89208984;-54,47563000
1,89399719;-54,59501000
1,89590454;-54,48178000
1,89781189;-54,23420000
1,89971924;-54,38111000
1,90162659;-54,80672000
1,90353394;-54,77944000
1,90544128;-54,87123000
1,90734863;-54,88995000
1,90925598;-54,75667000
1,91116333;-54,59856000
1,91307068;-54,57602000
1,91497803;-54,58714000
1,91688538;-54,64554000
1,91879272;-54,50352000
1,92070007;-54,34663000
1,92260742;-54,33580000
1,92451477;-54,23157000
1,92642212;-54,45394000
1,92832947;-54,53424000
1,93023682;-54,66529000
1,93214417;-54,32284000
1,93405151;-54,37868000
1,93595886;-54,46092000
1,93786621;-54,62371000
1,93977356;-54,40189000
1,94168091;-54,44757000
1,94358826;-54,27752000
1,94549561;-54,34939000
1,94740295;-54,57378000
1,94931030;-54,55236000
1,95121765;-54,54918000
1,95312500;-54,44453000
1,95503235;-54,52757000
1,95693970;-54,52979000
1,95884705;-54,48193000
1,96075439;-54,42878000
1,96266174;-54,52235000
1,96456909;-54,71552000
1,96647644;-54,50740000
1,96838379;-54,29595000
1,97029114;-54,27398000
1,97219849;-54,45298000
1,97410583;-54,43509000
1,97601318;-54,60733000
1,97792053;-54,64850000
1,97982788;-54,56444000
1,98173523;-54,77748000
1,98364258;-54,60960000
1,98554993;-54,46277000
1,98745728;-54,52991000
1,98936462;-54,77552000
1,99127197;-54,55510000
1,99317932;-54,70183000
1,99508667;-54,87684000
1,99699402;-54,85172000
1,99890137;-54,62405000
2,00080872;-54,46233000
2,00271606;-54,39783000
2,00462341;-54,27960000
2,00653076;-54,32147000
2,00843811;-54,32699000
2,01034546;-54,83990000
2,01225281;-54,82282000
2,01416016;-54,76074000
2,01606750;-54,77483000
2,01797485;-54,66613000
2,01988220;-54,63264000
2,02178955;-54,54924000
2,02369690;-54,42502000
2,02560425;-54,48491000
2,02751160;-54,45811000
2,02941895;-54,52599000
2,03132629;-54,37676000
2,03323364;-54,29422000
2,03514099;-54,43499000
